Country,flopsobs,dummy_old,old_age_n,old_cont_n,old_salary_n,old_cov_20_n2,index_old_202,dummy_sick,sick_cont_n,sick_salary_n,sick_days_n,sick_cov_n2,index_sick2,dummy_unem,unem_cont_n,unem_salary_n,unem_days_n,unem_covn2,index_unem2,index_socseca
Romania,163,1.0000,0.4118,0.3333,0.7500,0.8225,0.5794,1.0000,1.0000,0.4068,0.7381,0.8500,0.7487,1.0000,0.9500,0.8361,1.0000,0.7941,0.8951,0.7411
Russian Federation,164,1.0000,0.2563,0.4444,0.9500,0.6925,0.5858,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9767,1.0000,1.0000,0.8439,0.9551,0.8470
Senegal,168,1.0000,0.0000,0.9778,0.7600,0.2848,0.5056,1.0000,0.8333,0.7458,1.0000,0.0000,0.6448,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.3835
Singapore,169,1.0000,0.9412,0.8889,0.0000,0.5086,0.5847,1.0000,0.5000,0.7034,1.0000,1.0000,0.8008,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.4618
Slovak Republic,176,1.0000,0.5504,0.4444,0.7050,0.5859,0.5714,1.0000,1.0000,0.5678,1.0000,0.8900,0.8644,1.0000,0.9000,0.8361,1.0000,0.2611,0.7493,0.7284
Slovenia,177,1.0000,0.5168,0.5556,0.6675,0.4455,0.5464,1.0000,1.0000,0.4610,1.0000,0.8000,0.8153,1.0000,0.9250,0.9902,1.0000,0.9447,0.9650,0.7755
South Africa,206,1.0000,0.0000,0.5556,0.8125,0.0000,0.3420,1.0000,0.7472,0.9153,0.3333,0.4500,0.6115,1.0000,0.9747,0.8361,0.9000,0.3794,0.7726,0.5753
Spain,59,1.0000,0.5588,0.6667,0.8396,0.8459,0.7277,1.0000,0.5000,0.8736,0.9286,0.7500,0.7630,1.0000,0.9000,0.7377,0.9000,0.6913,0.8073,0.7660
Sri Lanka,114,1.0000,0.7101,0.5556,0.6000,0.4683,0.5835,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1945
Sweden,178,1.0000,0.6134,0.9333,0.9500,0.8176,0.8286,1.0000,0.9583,1.0000,0.6429,0.8000,0.8503,1.0000,0.9500,1.0000,0.9286,0.5437,0.8556,0.8448
