Table 1
Country,flopsobs,flopsobs,Unof_economy,lab_inf,lfrmle,lfrfem,av_unem_9100,rat_mal2024,rat_fem2024,avgca20_la81_la85_ma91_pf159n
Taiwan,225,225,19.6000,.,.,.,.,.,.,.
Tanzania,191,191,58.3000,42.2000,89.2000,84.6000,.,.,.,.
Thailand,184,184,52.6000,.,89.3000,78.5000,1.8800,4.1600,3.9100,0.9063
Tunisia,189,189,38.4000,57.1000,83.0000,34.6000,15.7000,.,.,1.4124
Turkey,190,190,32.1000,.,85.6000,45.0000,7.5400,20.6000,15.8400,0.9748
Uganda,192,192,43.1000,56.4000,92.7000,82.9000,.,.,.,0.7123
Ukraine,193,193,52.2000,.,79.7000,69.8000,9.5000,19.6500,16.6500,1.2269
United Kingdom,68,68,12.6000,.,86.2000,63.8000,7.9500,14.4800,9.1500,1.1145
United States,195,195,8.8000,.,82.6000,66.5000,5.5900,9.8300,8.8300,0.8610
Uruguay,194,194,51.1000,.,83.8000,52.6000,10.0875,14.6900,23.3300,1.3865
Venezuela,198,198,33.6000,.,83.9000,40.0000,10.2444,.,.,1.2041
Vietnam,200,200,15.6000,.,87.9000,80.9000,.,.,.,.
Zambia,208,208,48.9000,.,88.0000,67.6000,.,.,.,0.8673
Zimbabwe,209,209,59.4000,33.9000,86.8000,67.2000,.,.,.,.
