Table 1
Country,flopsobs,dis_race,dis_sex,maternity2,maternityn2,min_age,minwa,wage_min2,index_cra,
Sweden,178,1.0000,1.0000,2.0000,0.2500,16.0000,0.6667,0.0000,0.5833,
Switzerland,35,1.0000,1.0000,4.5000,0.1667,15.0000,0.5000,0.0000,0.5333,
Taiwan,225,1.0000,1.0000,2.0250,0.1667,15.0000,0.5000,1.0000,0.7333,
Tanzania,191,1.0000,1.0000,0.6667,0.2333,12.0000,0.0000,1.0000,0.6467,
Thailand,184,1.0000,1.0000,2.0000,0.1786,13.0000,0.1667,1.0000,0.6690,
Tunisia,189,0.0000,1.0000,2.8000,0.0556,16.0000,0.6667,1.0000,0.5444,
Turkey,190,1.0000,1.0000,2.1429,0.1667,15.0000,0.5000,1.0000,0.7333,
Uganda,192,1.0000,1.0000,2.0000,0.0833,18.0000,1.0000,1.0000,0.8167,
Ukraine,193,1.0000,1.0000,1.0000,0.3417,14.0000,0.3333,1.0000,0.7350,
United Kingdom,68,1.0000,1.0000,1.5000,0.1125,16.0000,0.6667,0.0000,0.5558,
United States,195,1.0000,1.0000,1.3500,0.0000,16.0000,0.6667,1.0000,0.7333,
Uruguay,194,1.0000,1.0000,4.1000,0.2500,15.0000,0.5000,1.0000,0.7500,
Venezuela,198,1.0000,1.0000,0.0000,0.3750,14.0000,0.3333,1.0000,0.7417,
Vietnam,200,1.0000,1.0000,3.0000,0.4167,18.0000,1.0000,1.0000,0.8833,
Zambia,208,1.0000,1.0000,5.0000,0.2500,16.0000,0.6667,1.0000,0.7833,
Zimbabwe,209,1.0000,1.0000,3.0000,0.1688,17.0000,0.8333,0.0000,0.6004,
